stop_id,stop_name,stop_desc,stop_lat,stop_lon,wheelchair_boarding,stop_code
Thornton Rd @ N Blairs Bridge Rd N,Thornton Rd (N) at North Blairs Bridge Rd,,33.779558,-84.606882,0,400505
Thornton Rd @ N Blairs Bridge Rd S,Thornton Rd (S) at North Blairs Bridge Rd,,33.779477,-84.607226,0,400506
Thornton Rd @ Oak Ridge Rd,Thornton Rd at Oak Ridge Rd,,33.783392,-84.609768,0,400507
Thornton Rd @ Skyview Dr,Thornton Rd at Skyview Dr,,33.781939,-84.608867,0,400508
Thornton Rd @ Westfork Blvd,Thornton Rd at Westfork Blvd,,33.792291,-84.6301,0,400509
Town Center/Big Shanty P&R,Town Center/Big Shanty Park and Ride,,34.027571,-84.570565,0,400023
Triangle Pkwy at Metric Dr (N),Triangle Pkwy (N) at Metric Dr,,33.975306,-84.223927,0,400425
Triangle Pkwy at Metric Dr (S),Triangle Pkwy (S) at Metric Dr,,33.975356,-84.224289,0,400426
Union City P&R,Union City Park and Ride,,33.586694,-84.512458,0,400024
W Johns Crossing @ Emory Hospital,West Johns Crossing at Emory Hospital,,34.067414,-84.174918,0,400427
W Peachtree St @ 12th St,W Peachtree St at 12th St,,33.784253,-84.387823,0,400206
W Peachtree St @ 5th St,W Peachtree St at 5th St,,33.776089,-84.387242,0,600012
W Peachtree St @ Arts Center MARTA Station,W Peachtree St at Arts Center MARTA Station,,33.789215,-84.387692,0,400208
W Peachtree St @ Civic Center MARTA Station (northbound),W Peachtree St at Civic Center MARTA Station (northbound),,33.766153,-84.387478,0,600007
W Peachtree St @ Civic Center MARTA Station (southbound),W Peachtree St at Civic Center MARTA Station (southbound),,33.766144,-84.387585,0,600008
W Peachtree St @ Peachtree Pl,W Peachtree St at Peachtree Pl,Midtown MARTA Station,33.780546,-84.387431,0,600011
W Peachtree St @ Ponce de Leon Ave,W Peachtree St at Ponce de Leon Ave,North Ave MARTA Station,33.77212,-84.387263,0,600013
W Peachtree St after 14 St,W Peachtree St after 14 St,1201 W Peachtree St,33.78695,-84.387714,0,600014
Wall St (EB) @ Central Ave,Wall St at Central Ave,,33.752669,-84.388532,0,400106
Washington St @ MLK Jr Dr,Washington St at MLK Jr Dr,State Capitol,33.750312,-84.3884,0,400113
"West Conyers P&R (Sigman Rd, Downtown)","West Conyers Park and Ride (Sigman Rd, Downtown)",,33.68513,-84.058896,0,400025
"West Conyers P&R (Sigman Rd, Midtown)","West Conyers Park and Ride (Sigman Rd, Midtown)",,33.685133,-84.056684,0,400026
"West Conyers P&R (Sigman Rd, Perimeter)","West Conyers Park and Ride (Sigman Rd, Perimeter)",,33.685086,-84.056976,0,400027
West Douglas P&R,West Douglas Park and Ride,,33.723269,-84.773523,0,400028
Williams St @ Baker St,Williams St at Baker St,,33.762461,-84.390664,0,400107
Woodstock P&R (His Hands Church),Woodstock Park and Ride (His Hands Church),,34.081563,-84.541754,0,400029
