stop_id,stop_code,platform_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,position,direction,wheelchair_boarding
2334893,227,,Buford Hwy At Jimmy Carter Ib,,33.932799,-84.2196,,,0,,America/New_York,,,0
2334894,229,,Buford Hwy & Suzanne's Kitchen,,33.975958,-84.164478,,,0,,America/New_York,,,0
2334895,231,,Burford Hwy At Lake Dr Ib,,33.922405,-84.25286,,,0,,America/New_York,,,0
2334896,232,,Buford Hwy & Langford Rd (cvs Pharmacy),,33.948635,-84.198845,,,0,,America/New_York,,,0
2334897,233,,Buford Hwy & Langford Rd (magnolia Plz),,33.950267,-84.197463,,,0,,America/New_York,,,0
2334898,234,,Buford Hwy At Lively Ave Ib,,33.936144,-84.214275,,,0,,America/New_York,,,0
2334899,236,,Buford Hwy & Mitchell Rd (napa) Ib,,33.941486,-84.207868,,,0,,America/New_York,,,0
2334900,237,,Buford Hwy & N Norcross Tucker Rd,,33.934888,-84.21576,,,0,,America/New_York,,,0
2334901,238,,Buford Hwy & Norcross Industrial Ct,,33.948097,-84.199989,,,0,,America/New_York,,,0
2334902,240,,Burford Hwy & S Peachtree St IB,,33.931147,-84.226642,,,0,,America/New_York,,,0
2334903,241,,Buford Hwy & Old Norcross Rd,,33.947104,-84.200705,,,0,,America/New_York,,,0
2334904,242,,Buford Hwy & Payne Rd,,33.961355,-84.18405,,,0,,America/New_York,,,0
2334905,243,,Buford Hwy & Phoenix Metals,,33.962112,-84.183617,,,0,,America/New_York,,,0
2334906,244,,Buford Hwy & S Old Peachtree Rd Ob,,33.970153,-84.172553,,,0,,America/New_York,,,0
2334907,245,,Burford Hwy At Pleasantdale Rd Ib,,33.924555,-84.249668,,,0,,America/New_York,,,0
2334908,246,,Buford Hwy & Pittman Cir,,33.957475,-84.188549,,,0,,America/New_York,,,0
2334909,247,,Buford Hwy & Pittman Cir,,33.957961,-84.188484,,,0,,America/New_York,,,0
2334910,248,,Burford Hwy & Centro Norcross Plaza Ib,,33.940132,-84.209599,,,0,,America/New_York,,,0
2334911,249,,Buford Hwy & Carlyle St Ob,,33.938571,-84.21196,,,0,,America/New_York,,,0
2334912,250,,Buford Hwy & Remington Park Ct,,33.964667,-84.179641,,,0,,America/New_York,,,0
2334913,251,,Buford Hwy At Tofu House Ib,,33.912404,-84.263377,,,0,,America/New_York,,,0
2334914,253,,Buford Hwy & Simpson Cir,,33.966907,-84.177061,,,0,,America/New_York,,,0
2334915,254,,Buford Hwy & Smith Ridge Trace,,33.952269,-84.195132,,,0,,America/New_York,,,0
2334916,255,,Burns Rd & Garner Way IB,,33.91038,-84.122315,,,0,,America/New_York,,,0
2334917,256,,Burns Rd &  Garner Way,,33.910285,-84.122048,,,0,,America/New_York,,,0
2334918,258,,Burns Rd & Burns Cir B,,33.908773,-84.139887,,,0,,America/New_York,,,0
2334919,259,,Burns Rd & Beaver Ruin Rd (cvs),,33.912089,-84.133226,,,0,,America/New_York,,,0
2334920,260,,Burns Rd & Beaver Ruin Rd (chevron),,33.911916,-84.133264,,,0,,America/New_York,,,0
2334921,262,,Burns Rd & Jacksons Mill Way,,33.90648,-84.144543,,,0,,America/New_York,,,0
2334922,263,,Burns Rd & Jodeco Cir (across),,33.905054,-84.148139,,,0,,America/New_York,,,0
2334923,264,,Burns Rd & Jodeco Rd,,33.904944,-84.147982,,,0,,America/New_York,,,0
2334924,265,,Burns Rd & Johns Way Ib,,33.91113,-84.11795,,,0,,America/New_York,,,0
2334925,266,,Burns Rd & Johns Way,,33.911041,-84.117843,,,0,,America/New_York,,,0
2334926,267,,Burns Rd & Pleasant Hill Rd Ob,,33.91076,-84.113762,,,0,,America/New_York,,,0
2334927,268,,Burns Rd & Shady Dr (across),,33.912182,-84.129214,,,0,,America/New_York,,,0
2334928,269,,Burns Rd & Springwood Dr IB,,33.907393,-84.142868,,,0,,America/New_York,,,0
2334929,270,,Burns Rd & Springwood Dr,,33.907412,-84.142616,,,0,,America/New_York,,,0
